hmid,match_id,entertainment,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,id,text
28427,62,music,823,24h,"It was adapted into a stage musical in 2008, with film/theater actor Oh Man-seok debuting as director. Oh was also the lyricist and polished the script. The story centers around two guys who are crazy about music. One is a high school music teacher, Beom-jin, who has broken up with his girlfriend and now eats sadly alone in front of his mirror out of habit. Another is the younger Sae-ki, whose mother left and whose father died in a sudden accident, leaving him an orphan. In this rather dull world, the only thing that makes these two feel alive is music, offering them their ""happy life"". Yoo Jun-sang and Im Choon-gil alternated as Beom-jin, and Kim Mu-yeol and Ryan alternated as Sae-ki.","It was adapted into a stage musical in 2008, with film/theater actor Oh Man-seok debuting as director. Oh was also the lyricist and polished the script. The story centers around two guys who are crazy about music. One is a high school music teacher, Beom-jin, who has broken up with his girlfriend and now eats sadly alone in front of his mirror out of habit. Another is the younger Sae-ki, whose mother left and whose father died in a sudden accident, leaving him an orphan. In this rather dull world, the only thing that makes these two feel alive is music, offering them their ""happy life"". Yoo Jun-sang and Im Choon-gil alternated as Beom-jin, and Kim Mu-yeol and Ryan alternated as Sae-ki.",TRUE,7,NA,affection,755,adapted stage music filmtheater actor manseok debut director lyricist polished script story center guy crazy music school music teacher beomjin broken girlfriend eat sad front mirror habits saeki mother left father died suddenly accident leave orphans dull world makes feel alive music offer life yoo junsang im choongil alternative beomjin kim muyeol ryan alternative saeki
28427,62,music,823,24h,"It was adapted into a stage musical in 2008, with film/theater actor Oh Man-seok debuting as director. Oh was also the lyricist and polished the script. The story centers around two guys who are crazy about music. One is a high school music teacher, Beom-jin, who has broken up with his girlfriend and now eats sadly alone in front of his mirror out of habit. Another is the younger Sae-ki, whose mother left and whose father died in a sudden accident, leaving him an orphan. In this rather dull world, the only thing that makes these two feel alive is music, offering them their ""happy life"". Yoo Jun-sang and Im Choon-gil alternated as Beom-jin, and Kim Mu-yeol and Ryan alternated as Sae-ki.","It was adapted into a stage musical in 2008, with film/theater actor Oh Man-seok debuting as director. Oh was also the lyricist and polished the script. The story centers around two guys who are crazy about music. One is a high school music teacher, Beom-jin, who has broken up with his girlfriend and now eats sadly alone in front of his mirror out of habit. Another is the younger Sae-ki, whose mother left and whose father died in a sudden accident, leaving him an orphan. In this rather dull world, the only thing that makes these two feel alive is music, offering them their ""happy life"". Yoo Jun-sang and Im Choon-gil alternated as Beom-jin, and Kim Mu-yeol and Ryan alternated as Sae-ki.",TRUE,7,NA,affection,755,adapted stage music filmtheater actor manseok debut director lyricist polished script story center guy crazy music school music teacher beomjin broken girlfriend eat sad front mirror habits saeki mother left father died suddenly accident leave orphans dull world makes feel alive music offer life yoo junsang im choongil alternative beomjin kim muyeol ryan alternative saeki
28427,62,music,823,24h,"It was adapted into a stage musical in 2008, with film/theater actor Oh Man-seok debuting as director. Oh was also the lyricist and polished the script. The story centers around two guys who are crazy about music. One is a high school music teacher, Beom-jin, who has broken up with his girlfriend and now eats sadly alone in front of his mirror out of habit. Another is the younger Sae-ki, whose mother left and whose father died in a sudden accident, leaving him an orphan. In this rather dull world, the only thing that makes these two feel alive is music, offering them their ""happy life"". Yoo Jun-sang and Im Choon-gil alternated as Beom-jin, and Kim Mu-yeol and Ryan alternated as Sae-ki.","It was adapted into a stage musical in 2008, with film/theater actor Oh Man-seok debuting as director. Oh was also the lyricist and polished the script. The story centers around two guys who are crazy about music. One is a high school music teacher, Beom-jin, who has broken up with his girlfriend and now eats sadly alone in front of his mirror out of habit. Another is the younger Sae-ki, whose mother left and whose father died in a sudden accident, leaving him an orphan. In this rather dull world, the only thing that makes these two feel alive is music, offering them their ""happy life"". Yoo Jun-sang and Im Choon-gil alternated as Beom-jin, and Kim Mu-yeol and Ryan alternated as Sae-ki.",TRUE,7,NA,affection,755,adapted stage music filmtheater actor manseok debut director lyricist polished script story center guy crazy music school music teacher beomjin broken girlfriend eat sad front mirror habits saeki mother left father died suddenly accident leave orphans dull world makes feel alive music offer life yoo junsang im choongil alternative beomjin kim muyeol ryan alternative saeki
28427,62,music,823,24h,"It was adapted into a stage musical in 2008, with film/theater actor Oh Man-seok debuting as director. Oh was also the lyricist and polished the script. The story centers around two guys who are crazy about music. One is a high school music teacher, Beom-jin, who has broken up with his girlfriend and now eats sadly alone in front of his mirror out of habit. Another is the younger Sae-ki, whose mother left and whose father died in a sudden accident, leaving him an orphan. In this rather dull world, the only thing that makes these two feel alive is music, offering them their ""happy life"". Yoo Jun-sang and Im Choon-gil alternated as Beom-jin, and Kim Mu-yeol and Ryan alternated as Sae-ki.","It was adapted into a stage musical in 2008, with film/theater actor Oh Man-seok debuting as director. Oh was also the lyricist and polished the script. The story centers around two guys who are crazy about music. One is a high school music teacher, Beom-jin, who has broken up with his girlfriend and now eats sadly alone in front of his mirror out of habit. Another is the younger Sae-ki, whose mother left and whose father died in a sudden accident, leaving him an orphan. In this rather dull world, the only thing that makes these two feel alive is music, offering them their ""happy life"". Yoo Jun-sang and Im Choon-gil alternated as Beom-jin, and Kim Mu-yeol and Ryan alternated as Sae-ki.",TRUE,7,NA,affection,755,adapted stage music filmtheater actor manseok debut director lyricist polished script story center guy crazy music school music teacher beomjin broken girlfriend eat sad front mirror habits saeki mother left father died suddenly accident leave orphans dull world makes feel alive music offer life yoo junsang im choongil alternative beomjin kim muyeol ryan alternative saeki
28432,39,video,28,24h,I was able to make some time for playing a video game that I haven't gotten around to for a while.,I was able to make some time for playing a video game that I haven't gotten around to for a while.,TRUE,1,NA,leisure,760,time played video game havent
28436,2,tv,2258,24h,I watched a tv show with my stepdaughter.,I watched a tv show with my stepdaughter.,TRUE,1,NA,leisure,764,watched tv stepdaughter
28447,1,movie,525,24h,I watched a movie with my spouse and she rubbed my sore feet.,I watched a movie with my spouse and she rubbed my sore feet.,TRUE,1,NA,affection,775,watched movie spouse rub sore feet
28466,7,videogame,13496,24h,"Did well in the videogame I was playing
","Did well in the videogame I was playing
",TRUE,1,leisure,leisure,794,videogame played
28473,1,movie,11191,24h,"Last night watching movies with three of my friends at my home place. It was amazing as we are all day tired and wanted to spend some time with each other for couple of hours. It was a great divine feeling working hard and being with your loved ones.
We were enjoying the moment for about 3 hours.","Last night watching movies with three of my friends at my home place. It was amazing as we are all day tired and wanted to spend some time with each other for couple of hours. It was a great divine feeling working hard and being with your loved ones.
We were enjoying the moment for about 3 hours.",TRUE,4,NA,affection,801,night watched movie friend home amazing day tired spend time couple hours divine feel hard love enjoyed moment hours
28486,2,tv,2079,24h,My favorite TV show had a new episode and I watched it.,My favorite TV show had a new episode and I watched it.,TRUE,1,NA,leisure,814,favorite tv episode watched
28486,31,episode,2079,24h,My favorite TV show had a new episode and I watched it.,My favorite TV show had a new episode and I watched it.,TRUE,1,NA,leisure,814,favorite tv episode watched
28490,61,song,380,24h,Being able to master a song i have practiced on my instruments,Being able to master a song i have practiced on my instruments,TRUE,1,NA,achievement,818,masters song practice instrument
28508,1,movie,334,24h,I finally convinced my girlfriend to go to the movies with me. We both had a lot of fun and it was a nice night.,I finally convinced my girlfriend to go to the movies with me. We both had a lot of fun and it was a nice night.,TRUE,2,NA,affection,836,finally convinced girlfriend movie fun nice night
28516,61,song,2278,24h,I listened to a happy song/,I listened to a happy song/,TRUE,1,NA,leisure,844,listening song
28520,39,video,663,24h,Playing a video game with my friend.,Playing a video game with my friend.,TRUE,1,NA,bonding,848,played video game friend
28526,1,movie,8182,24h,I watched a wonderful movie that I have not seen in years. My family and I were thrilled.,I watched a wonderful movie that I have not seen in years. My family and I were thrilled.,TRUE,2,affection,affection,854,watched wonderful movie family thrilled
28527,39,video,34,24h,I played a few hours of video games with my closest friends.,I played a few hours of video games with my closest friends.,TRUE,1,NA,bonding,855,played hours video game closest friend
28534,62,music,2222,24h,"I watched the entirety of Pharrell's new 24-hour music video ""Happy""aon mute, in 2-hour chunks, over the course of several days; that is how I am still alive.","I watched the entirety of Pharrell's new 24-hour music video ""Happy""aon mute, in 2-hour chunks, over the course of several days; that is how I am still alive.",TRUE,1,NA,enjoy_the_moment,862,watched entirety pharrell hours music video happyaon mute hours chunk day alive
28534,39,video,2222,24h,"I watched the entirety of Pharrell's new 24-hour music video ""Happy""aon mute, in 2-hour chunks, over the course of several days; that is how I am still alive.","I watched the entirety of Pharrell's new 24-hour music video ""Happy""aon mute, in 2-hour chunks, over the course of several days; that is how I am still alive.",TRUE,1,NA,enjoy_the_moment,862,watched entirety pharrell hours music video happyaon mute hours chunk day alive
28547,42,album,2027,24h,I was happy when I listened to the album Wildflowers on vinyl.,I was happy when I listened to the album Wildflowers on vinyl.,TRUE,1,NA,leisure,875,listening album wildflowers vinyl
28586,6,book,295,24h,"I found an interesting book at the library, a book I didn't know existed.","I found an interesting book at the library, a book I didn't know existed.",TRUE,1,NA,achievement,914,found book library book didnt existence
28586,6,book,295,24h,"I found an interesting book at the library, a book I didn't know existed.","I found an interesting book at the library, a book I didn't know existed.",TRUE,1,NA,achievement,914,found book library book didnt existence
28596,1,movie,1997,24h,I watched a funny movie together with my husband. We both enjoyed it.,I watched a funny movie together with my husband. We both enjoyed it.,TRUE,2,NA,affection,924,watched funny movie husband enjoyed
28615,7,videogame,578,24h,Playing videogame with my friend.,Playing videogame with my friend.,TRUE,1,NA,bonding,942,played videogame friend
28622,39,video,10655,24h,"I got really lucky and drafted possibly the best deck I've ever had in Hearthstone (video game). I was destroying my first 3 opponents and simultaneously going through a bag of Lindt chocolate truffles when I realized that I was really, really happy. The feeling of euphoria lasted another 15 minutes or so until I lost three straight games and I was back to normal.","I got really lucky and drafted possibly the best deck I've ever had in Hearthstone (video game). I was destroying my first 3 opponents and simultaneously going through a bag of Lindt chocolate truffles when I realized that I was really, really happy. The feeling of euphoria lasted another 15 minutes or so until I lost three straight games and I was back to normal.",TRUE,3,NA,achievement,949,lucky draft possibly deck ive hearthstone video game destroyed opponent simultaneously bag lindt chocolate truffles realized feel euphoria lasted minutes lost straight game normal
28623,2,tv,128,24h,My favorite tv show came on.,My favorite tv show came on.,TRUE,1,NA,leisure,950,favorite tv
28633,6,book,10616,24h,I booked a flight to Colombia.,I booked a flight to Colombia.,TRUE,1,NA,achievement,960,book flight colombia
28643,6,book,369,24h,I completed a book that I was reading and really enjoyed it.,I completed a book that I was reading and really enjoyed it.,TRUE,1,NA,leisure,970,completed book read enjoyed
28643,47,read,369,24h,I completed a book that I was reading and really enjoyed it.,I completed a book that I was reading and really enjoyed it.,TRUE,1,NA,leisure,970,completed book read enjoyed
28648,62,music,1715,24h,I danced to  soca music with my mom and sister.,I danced to  soca music with my mom and sister.,TRUE,1,NA,affection,975,dance soca music mom sister
28657,2,tv,467,24h,I watched my TV shows.,I watched my TV shows.,TRUE,1,NA,leisure,984,watched tv
28658,31,episode,13729,24h,I watched a particularly compelling episode of a show that I enjoy on Netflix.,I watched a particularly compelling episode of a show that I enjoy on Netflix.,TRUE,1,leisure,leisure,985,watched compelled episode enjoyed netflix
28658,40,netflix,13729,24h,I watched a particularly compelling episode of a show that I enjoy on Netflix.,I watched a particularly compelling episode of a show that I enjoy on Netflix.,TRUE,1,leisure,leisure,985,watched compelled episode enjoyed netflix
28663,1,movie,2760,24h,"I GOT GOVERNMENT JOB
FRIENDS MEETING
FRIENDS GET TO GATHER PARTY
I'M GOING TO MOVIE 
FRIENDS ALSO MOVIE","I GOT GOVERNMENT JOB
FRIENDS MEETING
FRIENDS GET TO GATHER PARTY
I'M GOING TO MOVIE 
FRIENDS ALSO MOVIE",TRUE,1,NA,bonding,990,government job friend meet friend gathering party im movie friend movie
28663,1,movie,2760,24h,"I GOT GOVERNMENT JOB
FRIENDS MEETING
FRIENDS GET TO GATHER PARTY
I'M GOING TO MOVIE 
FRIENDS ALSO MOVIE","I GOT GOVERNMENT JOB
FRIENDS MEETING
FRIENDS GET TO GATHER PARTY
I'M GOING TO MOVIE 
FRIENDS ALSO MOVIE",TRUE,1,NA,bonding,990,government job friend meet friend gathering party im movie friend movie
28666,47,read,863,24h,I was happy when I read the email of a requester giving me a $3 bonus.,I was happy when I read the email of a requester giving me a $3 bonus.,TRUE,1,NA,achievement,993,read email request giving bonus
28681,1,movie,3736,24h,"I watched a movie with my wife, and we both enjoyed it.","I watched a movie with my wife, and we both enjoyed it.",TRUE,1,affection,affection,1008,watched movie wife enjoyed
28689,1,movie,2497,24h,I spent time with my boyfriend on our anniversary and watched my favorite movie.,I spent time with my boyfriend on our anniversary and watched my favorite movie.,TRUE,1,NA,affection,1016,spent time boyfriend anniversary watched favorite movie
28703,39,video,1772,24h,"I was off from work, and I got to work on two of the things I enjoy doing most with my spare time, which includes doing survey work and video games.","I was off from work, and I got to work on two of the things I enjoy doing most with my spare time, which includes doing survey work and video games.",TRUE,1,NA,leisure,1030,enjoyed spare time including survey video game
28704,39,video,174,24h,"I got the ""play of the game"" in the video game Overwatch.","I got the ""play of the game"" in the video game Overwatch.",TRUE,1,NA,leisure,1031,played game video game overwatch
28711,108,band,3854,24h,Watching my son play his guitar with the church band.,Watching my son play his guitar with the church band.,TRUE,1,NA,affection,1037,watched son played guitar church band
28842,47,read,13097,24h,I was reading in my hammock.,I was reading in my hammock.,TRUE,1,NA,leisure,1167,read hammock
28857,61,song,10965,24h,My daughter played a song for me on the piano.,My daughter played a song for me on the piano.,TRUE,1,NA,affection,1182,daughter played song piano
28867,61,song,1092,24h,I found a new playlist of 80s hip hop songs.,I found a new playlist of 80s hip hop songs.,TRUE,1,NA,leisure,1192,found playlist hip hop song
28930,39,video,357,24h,Playing video games with my nephew,Playing video games with my nephew,TRUE,1,leisure,affection,1255,played video game nephew
29238,39,video,4884,24h,I received a new video game in the mail that I have been waiting months to receive.,I received a new video game in the mail that I have been waiting months to receive.,TRUE,1,NA,achievement,1560,received video game mail waiting received
29402,61,song,4786,24h,I listened to a new song that I really liked.,I listened to a new song that I really liked.,TRUE,1,leisure,leisure,1721,listening song
29473,2,tv,453,24h,I watched my favorite TV show.,I watched my favorite TV show.,TRUE,1,NA,leisure,1792,watched favorite tv
29477,39,video,11191,24h,"When i ware upset last night, my mom convey me some words through online video chat. Listening to my mom's word on phone call was the best enlightenment to me i have received in last few months.","When i ware upset last night, my mom convey me some words through online video chat. Listening to my mom's word on phone call was the best enlightenment to me i have received in last few months.",TRUE,2,affection,affection,1796,ware upset night mom conveyed words online video chat listening mom words phone called enlightened received
29538,6,book,2222,24h,"I was preparing a scrap book for another friend for her birthday. It had screenshots of our chats during the past year, photos, and notes. She teared up going through it and told me aI donat know what have I done to deserve people like you caring this mucha","I was preparing a scrap book for another friend for her birthday. It had screenshots of our chats during the past year, photos, and notes. She teared up going through it and told me aI donat know what have I done to deserve people like you caring this mucha",TRUE,3,bonding,bonding,1856,prepared scrap book friend birthday screenshots chat photos note tears told ai donat deserved people care mucha
29615,7,videogame,202,24h,I did well in a videogame I played after struggling for several hours.,I did well in a videogame I played after struggling for several hours.,TRUE,1,NA,leisure,1932,videogame played struggling hours
29645,61,song,1658,24h,I realized that my songs transferred from ITunes onto my phone even though I forgot that I synced my phone.,I realized that my songs transferred from ITunes onto my phone even though I forgot that I synced my phone.,TRUE,1,NA,achievement,1962,realized song transfer itunes phone forgot sync phone
29649,39,video,4535,24h,Getting home and playing video games online with my girlfriend and friends.,Getting home and playing video games online with my girlfriend and friends.,TRUE,1,NA,bonding,1966,home played video game online girlfriend friend
29689,1,movie,12264,24h,I watched a movie that was really good.,I watched a movie that was really good.,TRUE,1,NA,leisure,2006,watched movie
29700,6,book,1598,24h,A book I wanted to buy went on sale for Amazon and I bought it.,A book I wanted to buy went on sale for Amazon and I bought it.,TRUE,1,NA,achievement,2017,book buy sale amazon bought
29740,75,concert,4884,24h,I will be going to a concert tonight that I have been anticipating for months.,I will be going to a concert tonight that I have been anticipating for months.,TRUE,1,NA,achievement,2056,concert tonight anticipated
29848,75,concert,810,24h,I went to a concert of my favorite artist.,I went to a concert of my favorite artist.,TRUE,1,NA,leisure,2161,concert favorite artist
29848,104,artist,810,24h,I went to a concert of my favorite artist.,I went to a concert of my favorite artist.,TRUE,1,NA,leisure,2161,concert favorite artist
29972,1,movie,977,24h,I watched a movie with my best friend for which I was waiting for long time,I watched a movie with my best friend for which I was waiting for long time,TRUE,1,NA,bonding,2284,watched movie friend waiting time
30109,61,song,352,24h,Lying in the bed listening to the rain outside. Listening to old songs and being able to remember all the lyrics.,Lying in the bed listening to the rain outside. Listening to old songs and being able to remember all the lyrics.,TRUE,2,NA,nature,2421,lying bed listening rain listening song remember lyrics
30109,66,lyrics,352,24h,Lying in the bed listening to the rain outside. Listening to old songs and being able to remember all the lyrics.,Lying in the bed listening to the rain outside. Listening to old songs and being able to remember all the lyrics.,TRUE,2,NA,nature,2421,lying bed listening rain listening song remember lyrics
30691,2,tv,10562,24h,"I had many moments of happiness in the past month, but one that stands out is when my boyfriend came over and we just sat and cuddled on the couch as we watched tv.","I had many moments of happiness in the past month, but one that stands out is when my boyfriend came over and we just sat and cuddled on the couch as we watched tv.",TRUE,1,NA,affection,3002,moment happiness stand boyfriend sat cuddled couch watched tv
30901,108,band,4465,24h,My best friend invited me to join him in July to go see another one of my favorite bands Primus peform at an outdoor venue which I have never been to before and have only seen Primus once before so i am super exited and was really happy that he invited me to go with him!,My best friend invited me to join him in July to go see another one of my favorite bands Primus peform at an outdoor venue which I have never been to before and have only seen Primus once before so i am super exited and was really happy that he invited me to go with him!,TRUE,1,NA,bonding,3208,friend invited joined july favorite band primus peform outdoor venue primus super exited invited
31220,62,music,796,24h,WHILE HEARING MUSIC,WHILE HEARING MUSIC,TRUE,1,NA,enjoy_the_moment,3524,hear music
31226,62,music,3200,24h,"My daughter getting accepted to the High School she applied to.  It's a high school the specializes in the arts, such as dance and music.  My daughter is very involved in music and dance and we were hoping she would be accepted.  When her acceptance letter finally arrived, we were all very happy.","My daughter getting accepted to the High School she applied to.  It's a high school the specializes in the arts, such as dance and music.  My daughter is very involved in music and dance and we were hoping she would be accepted.  When her acceptance letter finally arrived, we were all very happy.",TRUE,4,NA,affection,3530,daughter accepted school applied school special art dance music daughter involved music dance hope accepted accepted letter finally arrived
31226,62,music,3200,24h,"My daughter getting accepted to the High School she applied to.  It's a high school the specializes in the arts, such as dance and music.  My daughter is very involved in music and dance and we were hoping she would be accepted.  When her acceptance letter finally arrived, we were all very happy.","My daughter getting accepted to the High School she applied to.  It's a high school the specializes in the arts, such as dance and music.  My daughter is very involved in music and dance and we were hoping she would be accepted.  When her acceptance letter finally arrived, we were all very happy.",TRUE,4,NA,affection,3530,daughter accepted school applied school special art dance music daughter involved music dance hope accepted accepted letter finally arrived
31315,47,read,276,24h,When I finished reading my book for the week.,When I finished reading my book for the week.,TRUE,1,achievement,achievement,3618,finished read book
31315,6,book,276,24h,When I finished reading my book for the week.,When I finished reading my book for the week.,TRUE,1,achievement,achievement,3618,finished read book
31367,1,movie,1479,24h,I watched a new movie with a friend.,I watched a new movie with a friend.,TRUE,1,NA,bonding,3670,watched movie friend
31505,1,movie,3256,24h,spending time with my wife and taking her to a movie and dinner that she has been waiting to see for a while,spending time with my wife and taking her to a movie and dinner that she has been waiting to see for a while,TRUE,1,NA,affection,3807,spend time wife taking movie dinner waiting
31567,113,nintendo,5205,24h,I received my Nintendo switch in the mail in perfect working condition.,I received my Nintendo switch in the mail in perfect working condition.,TRUE,1,NA,achievement,3869,received nintendo switch mail perfect condition
31674,2,tv,4292,24h,Seeing the new Archer TV series season 7 released to Hulu last night.,Seeing the new Archer TV series season 7 released to Hulu last night.,TRUE,1,NA,leisure,3976,archer tv series season released hulu night
31674,49,hulu,4292,24h,Seeing the new Archer TV series season 7 released to Hulu last night.,Seeing the new Archer TV series season 7 released to Hulu last night.,TRUE,1,NA,leisure,3976,archer tv series season released hulu night
31750,39,video,1941,24h,I had my top-selling day of all time (selling video games) on Amazon.,I had my top-selling day of all time (selling video games) on Amazon.,TRUE,1,NA,achievement,4052,topselling day time sell video game amazon
31870,108,band,2782,24h,I listened to my favorite band while doing the dishes and chores last week and I smiled the whole time.,I listened to my favorite band while doing the dishes and chores last week and I smiled the whole time.,TRUE,1,NA,leisure,4168,listening favorite band dish chores smile time
31876,1,movie,2021,24h,I watched a movie that I thoroughly enjoyed.,I watched a movie that I thoroughly enjoyed.,TRUE,1,NA,leisure,4174,watched movie enjoyed
31926,2,tv,35,24h,Shopping for a new TV and decided on a 55 inch 4K smart TV.,Shopping for a new TV and decided on a 55 inch 4K smart TV.,TRUE,1,NA,achievement,4224,shopping tv decided inch smart tv
31926,2,tv,35,24h,Shopping for a new TV and decided on a 55 inch 4K smart TV.,Shopping for a new TV and decided on a 55 inch 4K smart TV.,TRUE,1,NA,achievement,4224,shopping tv decided inch smart tv
32502,1,movie,141,24h,I went to the movies to see Get Out with my friends.,I went to the movies to see Get Out with my friends.,TRUE,1,NA,bonding,4794,movie friend
32508,61,song,457,24h,"""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.","""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.",TRUE,4,NA,enjoy_the_moment,4800,feel moment song welsh rock band feeder album push sense released single album reached uk single chart australia voted song readers magazine released single album sale increase significant wake single presence radio alist
32508,108,band,457,24h,"""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.","""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.",TRUE,4,NA,enjoy_the_moment,4800,feel moment song welsh rock band feeder album push sense released single album reached uk single chart australia voted song readers magazine released single album sale increase significant wake single presence radio alist
32508,42,album,457,24h,"""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.","""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.",TRUE,4,NA,enjoy_the_moment,4800,feel moment song welsh rock band feeder album push sense released single album reached uk single chart australia voted song readers magazine released single album sale increase significant wake single presence radio alist
32508,42,album,457,24h,"""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.","""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.",TRUE,4,NA,enjoy_the_moment,4800,feel moment song welsh rock band feeder album push sense released single album reached uk single chart australia voted song readers magazine released single album sale increase significant wake single presence radio alist
32508,61,song,457,24h,"""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.","""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.",TRUE,4,NA,enjoy_the_moment,4800,feel moment song welsh rock band feeder album push sense released single album reached uk single chart australia voted song readers magazine released single album sale increase significant wake single presence radio alist
32508,42,album,457,24h,"""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.","""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.",TRUE,4,NA,enjoy_the_moment,4800,feel moment song welsh rock band feeder album push sense released single album reached uk single chart australia voted song readers magazine released single album sale increase significant wake single presence radio alist
32508,27,radio,457,24h,"""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.","""Feeling a Moment"" is a song by Welsh rock band Feeder, from their 2005 album Pushing the Senses. It was released as the second single from the album, and reached #13 in the UK Singles Chart and #32 in Australia. At the end of 2005, it was voted 98th best song of the year by the readers of Q Magazine.[1] Upon release of the single, the album's sales increased significantly in the wake of the single's presence on Radio 1's A-list.",TRUE,4,NA,enjoy_the_moment,4800,feel moment song welsh rock band feeder album push sense released single album reached uk single chart australia voted song readers magazine released single album sale increase significant wake single presence radio alist
32649,1,movie,9866,24h,"I was very Happy this past Sunday when my husband took me to see the new movie ""Beauty and the Beast"", not very husband will watch something like that with their wife.","I was very Happy this past Sunday when my husband took me to see the new movie ""Beauty and the Beast"", not very husband will watch something like that with their wife.",TRUE,1,NA,affection,4941,sunday husband movie beautiful beast husband watched wife
32663,113,nintendo,8758,24h,When I beat Zelda Breath of the Wild with my new Nintendo Switch.,When I beat Zelda Breath of the Wild with my new Nintendo Switch.,TRUE,1,NA,achievement,4955,beat zelda breath wild nintendo switch
32670,1,movie,184,24h,I was able to go out to the movies for a movie that the whole family could see.,I was able to go out to the movies for a movie that the whole family could see.,TRUE,1,NA,affection,4961,movie movie family
32670,1,movie,184,24h,I was able to go out to the movies for a movie that the whole family could see.,I was able to go out to the movies for a movie that the whole family could see.,TRUE,1,NA,affection,4961,movie movie family
32733,1,movie,110,24h,"Save money for a new grill for parties or a new DVD for family movie night a something that will encourage you to have people over and entertain. Plan a summer barbeque, invite your closest friends, kick back and relax. (And don't forget to print out the pictures to remember the good times.)","Save money for a new grill for parties or a new DVD for family movie night a something that will encourage you to have people over and entertain. Plan a summer barbeque, invite your closest friends, kick back and relax. (And don't forget to print out the pictures to remember the good times.)",TRUE,3,NA,bonding,5022,saved money grilled party dvd family movie night encouraged people entertaining planned summer barbeque invited closest friend kick relax dont forget print picture remember time
